h,coef,se,t,pvalor,ci_low,ci_high,nobs,arquivo,h_ref
6.0,0.0452636502840154,0.0477772479475578,0.9473892329189526,0.3434404756190971,-0.0333299225897172,0.123857223157748,263.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_gasolina_para_ipca_transporte.csv,6
12.0,-0.0875133666133638,0.0527213451404103,-1.6599228714725225,0.0969299696837276,-0.1742399793693388,-0.0007867538573888,257.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_gasolina_para_ipca_transporte.csv,12
24.0,-0.1181353193018758,0.040577174572794,-2.9113737106053352,0.0035984334150543,-0.1848847714741221,-0.0513858671296296,245.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_gasolina_para_ipca_transporte.csv,24
3.0,0.0167249974169716,0.0274317605369398,0.6096946418896304,0.5420641045807979,-0.0284002486662943,0.0618502435002376,266.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_gasolina_refinaria_para_ipca_geral.csv,3
6.0,-0.0274061433246376,0.0327654869543217,-0.8364332678114775,0.4029112036425299,-0.0813053693644968,0.0264930827152215,263.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_gasolina_refinaria_para_ipca_geral.csv,6
12.0,0.0495338379696177,0.0326884752945073,1.515330327381191,0.1296887717883854,-0.0042387038898467,0.1033063798290822,257.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_gasolina_refinaria_para_ipca_geral.csv,12
24.0,-0.0345377666716533,0.0249091414296316,-1.3865498644030982,0.1655790651469252,-0.0755133043233972,0.0064377709800906,245.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_gasolina_refinaria_para_ipca_geral.csv,24
3.0,0.0768878325990308,0.0782775507925285,0.9822462739389846,0.3259785356695411,-0.0518787384546787,0.2056544036527403,266.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_gasolina_refinaria_para_ipca_transporte.csv,3
6.0,-0.0957019733764223,0.0750265276260129,-1.2755751386159166,0.2021057471718508,-0.2191206113212137,0.0277166645683689,263.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_gasolina_refinaria_para_ipca_transporte.csv,6
12.0,0.0714761495541352,0.0949715961229641,0.7526055417831634,0.4516869864867127,-0.0847521260681408,0.2277044251764112,257.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_pontual_gasolina_refinaria_para_ipca_transporte.csv,12
